ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
3200	SMAD4-SKI complex	Human	None	HEK 293T cells	P12755;Q13485	6497;4089	MI:0004- affinity chromatography technologies	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.01.18.01;70.10	transcription repression;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Ski oncogene;Mothers against decapentaplegic homolog 4	SKI;SMAD4	Homo sapiens (Human);Homo sapiens (Human)	None	Smad proteins are the DNA-binding partners of Ski. Ski represses TGF(beta)-induced and SMAD-dependent transcriptional activation.	None;DPC4 MADH4	None	10485843
3201	Ship-Shc complex, IL-3 stimulated	Mouse	None	None	P98083;Q9ES52	20416;16331	MI:0019- coimmunoprecipitation	GO:0023052	signaling	30.01	cellular signalling	SHC-transforming protein 1 ;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	Shc1;Inpp5d	Mus musculus (Mouse);Mus musculus (Mouse)	None	The authors describe that Shc-SHIP and Shc-Il3rb1 exist as separate complexes. They further propose that the interaction between Shc and the Il3rb1 subunit seems to be transient and of a lower affinity than the association of Shc with SHIP.	Shc ShcA;7a33 Ship Ship1	None	10891441
3202	Il3rb1-Shc-Ship complex, IL-3 stimulated	Mouse	None	None	P26955;P98083;Q9ES52	12983;20416;16331	MI:0096- pull down	GO:0023052	signaling	30.01	cellular signalling	Cytokine receptor common subunit beta ;SHC-transforming protein 1 ;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	Csf2rb;Shc1;Inpp5d	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Aic2b Csf2rb1 Il3rb1;Shc ShcA;7a33 Ship Ship1	None	10891441
3203	Shc-Ship-Grb2 complex, IL-3 stimulated	Mouse	None	None	P98083;Q60631;Q9ES52	20416;14784;16331	MI:0007- anti tag coimmunoprecipitation	GO:0023052	signaling	30.01	cellular signalling	SHC-transforming protein 1 ;Growth factor receptor-bound protein 2;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	Shc1;Grb2;Inpp5d	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The authors conclude that although both Y239 and Y317 of Shc can associate with Grb2, the latter is the principal site for Grb2 binding in IL-3-stimulated IC2 cells. The data reported here indicate that Shc phosphorylation in IL-3-stimulated mast cells depends on binding of the PTB domain to the IL-3 receptor and that Shc pTyr sites subsequently bind SH2 proteins involved in different signaling pathways.	Shc ShcA;None;7a33 Ship Ship1	None	10891441
3204	SMAD2-SKI-NCOR complex	Human	None	HEK 293T cells	O75376;P12755;Q15796	9611;6497;4087	MI:0007- anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.01.18.01;70.10	transcription repression;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Nuclear receptor corepressor 1;Ski oncogene;Mothers against decapentaplegic homolog 2	NCOR1;SKI;SMAD2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Ski recruits the corepressor N-Cor to the SMAD proteins.	KIAA1047;None;MADH2, MADR2	None	10485843
3205	SMAD3-SKI-NCOR complex	Human	None	HEK 293T cells	O75376;P12755;P84022	9611;6497;4088	MI:0007- anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.01.18.01;70.10	transcription repression;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Nuclear receptor corepressor 1;Ski oncogene;Mothers against decapentaplegic homolog 3	NCOR1;SKI;SMAD3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Ski recruits the corepressor N-Cor to the SMAD proteins.	KIAA1047;None;MADH3	None	10485843
3206	SMAD4-SKI-NCOR complex	Human	None	HEK 293T cells	O75376;P12755;Q13485	9611;6497;4089	MI:0007- anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.01.18.01;70.10	transcription repression;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Nuclear receptor corepressor 1;Ski oncogene;Mothers against decapentaplegic homolog 4	NCOR1;SKI;SMAD4	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Ski recruits the corepressor N-Cor to the SMAD proteins.	KIAA1047;None;DPC4 MADH4	None	10485843
3207	LIN2-LIN7-SAP97-MINT1 complex	Human	None	HEK 293 cells , MDCK cells, epithelium	O14910;O14936;Q02410;Q12959	8825;8573;320;1739	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798;GO:0030855;GO:0002009	intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium	14.04;20.01.10;40.01.03;41.05.19;45.03.09	protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination;epithelium	Protein lin-7 homolog A;Peripheral plasma membrane protein CASK ;Amyloid beta A4 precursor protein-binding family A member 1 ;Disks large homolog 1	LIN7A;CASK;APBA1;DLG1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	MALS1 VELI1;LIN2;MINT1 X11;None	None	11865057
3208	LIN2-LIN7 complex	Human	None	HEK 293 cells, epithelium	O14910;O14936	8825;8573	MI:0096- pull down	GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798;GO:0030855;GO:0002009	intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium	14.04;20.01.10;40.01.03;41.05.19;45.03.09	protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination;epithelium	Protein lin-7 homolog A;Peripheral plasma membrane protein CASK	LIN7A;CASK	Homo sapiens (Human);Homo sapiens (Human)	None	It was earlier described that LIN-2/CASK and LIN-7 form a complex and localize to the basolateral surfaces of renal epithelia and MDCK (Madin-Darby canine kidney) cells (PMID:10710551).	MALS1 VELI1;LIN2	None	11865057
3209	LIN2-SAP97 complex	Mammalia	None	MDCK cells, epithelium	O14936;Q12959	8573;1739	MI:0096- pull down	GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798;GO:0030855;GO:0002009	intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification;epithelial cell differentiation;morphogenesis of an epithelium	14.04;20.01.10;40.01.03;41.05.19;45.03.09	protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination;epithelium	Peripheral plasma membrane protein CASK ;Disks large homolog 1	CASK;DLG1	Homo sapiens (Human);Homo sapiens (Human)	None	Association of SAP97 with LIN-2/CASK is crucial for lateral localization of SAP97 in MDCK cells.	LIN2;None	None	11865057
3210	Dlg3-Dlg1 complex	Rat	Dlg3-SAP97 complex	brain	Q62696;Q62936	25252;58948	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798	intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification	14.04;20.01.10;40.01.03;41.05.19	protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination	Disks large homolog 1;Disks large homolog 3	Dlg1;Dlg3	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Both Myc-DLG3 and Myc-mLIN-2 bound SAP97 via its MRE domain (found in a pull down experiment using MDCK cells). Immunoprecipitation in rat brain showed that endogenous DLG3 and SAP97 interact in rat brain.	Dlgh1, SAP97;Dlgh3	None	12351654
3211	Cask-Dlg1 complex	Mammalia	Cask-SAP97 complex	MDCK cells, epithelium	O70589;Q811D0	12361;13383	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0051211;GO:0009798	intracellular protein transport;protein targeting;protein transport;anisotropic cell growth;axis specification	14.04;20.01.10;40.01.03;41.05.19	protein targeting, sorting and translocation;protein transport;directional cell growth (morphogenesis);asymmetries and axis determination	Peripheral plasma membrane protein CASK;Disks large homolog 1	Cask;Dlg1	Mus musculus (Mouse);Mus musculus (Mouse)	None	None	mLin-2;Dlgh1, SAP97	None	12351654
3212	Pax7-HMT complex	Mouse	None	None	O08550;P47239;P61965;Q91X20	None;18509;140858;23808	MI:0007- anti tag coimmunoprecipitation	GO:0045893;GO:0018126;GO:0006479;GO:0007519;GO:0005634	positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;skeletal muscle tissue development;nucleus	11.02.03.04.01;14.07.09;41.05.15;70.10	transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);myogenesis;nucleus	Histone-lysine N-methyltransferase 2B ;Paired box protein Pax-7;WD repeat-containing protein 5 ;Set1/Ash2 histone methyltransferase complex subunit ASH2	Kmt2b;Pax7;Wdr5;Ash2l	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Pax7 associates with the Wdr5-Ash2L-MLL2 histone methyltransferase (HMT) complex. Binding of the Pax7-HMT complex to Myf5 resulted in H3K4 tri-methylation of surrounding chromatin. Thus, Pax7 induces chromatin modifications that stimulate transcriptional activation of target genes to regulate entry into the myogenic developmental programme.	Mll2 Trx2 Wbp7;Pax-7;Big Big3;	None	18066051
3213	ULBP1-KLRK1-HCST complex	Human	None	None	P26718;Q9BZM6;Q9UBK5	22914;80329;10870	MI:0004- affinity chromatography technologies	GO:0006955	immune response	36.25.16	immune response	NKG2-D type II integral membrane protein ;NKG2D ligand 1 ;Hematopoietic cell signal transducer	KLRK1;ULBP1;HCST	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The ULBPs and the MICs share the property of binding to the NKG2D/DAP10 receptor and provide a positive signal for NK cell activation and cytotoxicity that can override the negative signal mediated by MHC class I/KIR engagement.	D12S2489E NKG2D;N2DL1 RAET1I;DAP10 KAP10 PIK3AP	None	11239445
3214	G protein complex (Mcf2l, Gnb1, Gng2)	Rat	None	None	P54311;Q45QK6;Q63406	24400;80850;117020	MI:0019- coimmunoprecipitation	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein subunit gamma ;Guanine nucleotide exchange factor DBS	Gnb1;Gng2;Mcf2l	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	None	;;Ost	None	10518015
3215	G protein complex (Kalrn, Gnb1, Gng2)	Rat	None	None	P54311;P97924;Q45QK6	24400;84009;80850	MI:0019- coimmunoprecipitation	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	Guanine nucleotide-binding protein G;Kalirin;Guanine nucleotide-binding protein subunit gamma	Gnb1;Kalrn;Gng2	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	None	;Duo Hapip;	None	10518015
3216	G protein complex (CACNA1A, GNB1, GNG2)	Bovine	None	brain	A5ACB9;P62871;P63212	282648;281201;281203	MI:0047-far western blotting	GO:0007186	G-protein coupled receptor signaling pathway	30.05.02.24	G-protein coupled receptor signalling pathway	Calcium channel, voltage-dependent, P/Q type, Cav2.1 alpha 1A subunit;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G	CACNA1A;GNB1;GNG2	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None	The direct interaction of the G proteins (beta, gamma) with the Ca-channel alpha 1 subunit is responsible for the channel inhibition by G protein-coupled receptors.	None;None;None	None	9238069
3217	MAML2-RBP-Jkappa-Notch2 complex	Mammalia	None	None	P31266;Q04721;Q7TPU6	19664;4853;270118	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Neurogenic locus notch homolog protein 2;Maml2 protein	Rbpj;NOTCH2;Maml2	Mus musculus (Mouse);Homo sapiens (Human);Mus musculus (Mouse)	None	None	Igkjrb1 Igkrsbp Rbpsuh;None;	None	12370315
3218	MAML2-RBP-Jkappa-Notch3 complex	Mouse	None	None	P31266;Q61982;Q7TPU6	19664;18131;270118	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Neurogenic locus notch homolog protein 3 ;Maml2 protein	Rbpj;Notch3;Maml2	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Igkjrb1 Igkrsbp Rbpsuh;;	None	12370315
3219	MAML2-RBP-Jkappa-Notch4 complex	Mammalia	None	None	P31266;Q7TPU6;Q99466	19664;270118;4855	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Maml2 protein;Neurogenic locus notch homolog protein 4	Rbpj;Maml2;NOTCH4	Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human)	None	None	Igkjrb1 Igkrsbp Rbpsuh;;INT3	None	12370315
3220	MAML3-RBP-Jkappa-Notch1 complex	Mammalia	None	None	P31266;P46531;Q96JK9	19664;4851;55534	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Neurogenic locus notch homolog protein 1;Mastermind-like protein 3	Rbpj;NOTCH1;MAML3	Mus musculus (Mouse);Homo sapiens (Human);Homo sapiens (Human)	None	None	Igkjrb1 Igkrsbp Rbpsuh;TAN1;KIAA1816	None	12370315
3221	MAML3-RBP-Jkappa-Notch2 complex	Mammalia	None	None	P31266;Q04721;Q96JK9	19664;4853;55534	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Neurogenic locus notch homolog protein 2;Mastermind-like protein 3	Rbpj;NOTCH2;MAML3	Mus musculus (Mouse);Homo sapiens (Human);Homo sapiens (Human)	None	None	Igkjrb1 Igkrsbp Rbpsuh;None;KIAA1816	None	12370315
3222	MAML3-RBP-Jkappa-Notch3 complex	Mouse	None	None	P31266;Q61982;Q69Z97	19664;18131;433586	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Neurogenic locus notch homolog protein 3 ;MKIAA1816 protein	Rbpj;Notch3;Maml3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Igkjrb1 Igkrsbp Rbpsuh;;BC049812 mKIAA1816	None	12370315
3223	MAML3-RBP-Jkappa-Notch4 complex	Mammalia	None	None	P31266;Q96JK9;Q99466	19664;55534;4855	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0007219;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.02.14;70.10	transcriptional control;DNA binding;Notch-receptor signalling pathway;nucleus	Recombining binding protein suppressor of hairless;Mastermind-like protein 3 ;Neurogenic locus notch homolog protein 4	Rbpj;MAML3;NOTCH4	Mus musculus (Mouse);Homo sapiens (Human);Homo sapiens (Human)	None	None	Igkjrb1 Igkrsbp Rbpsuh;KIAA1816;INT3	None	12370315
